Distrito,Cidade/Localidade,Local,Horário de recolha,Data limite para recolha,Artigos a doar,Contacto mais info (opcional),Entidade que organiza (opcional),Link para o anúncio (se houver),Outras notas,Cordenadas ou morada
Ponta Delgada,Ponta Delgada,Rua do Castilho (ao lado do registo/conservatória Park Hotel) ,,,,,,,,
Ponta Delgada,Ponta Delgada,"Rua Margarida Chaves, 34D (Habicuidados)",,,,,,,,
Ponta Delgada,Ponta Delgada,Cresaçor,,,,,,,,
Ponta Delgada,Ponta Delgada,Junta Freguesia Fajã de Cima,,,,,,,,
Ponta Delgada,Ponta Delgada,Bombas da GALP A.C.Cymbron SA,,,,,,,,
Ponta Delgada,Ponta Delgada,Bomba Combustível Serra Gorda ANC,,,,,,,,
Ponta Delgada,Ponta Delgada,Escola Básica Integrada Roberto Ivens,,,,,,,,
Ponta Delgada,Ribeira Grande,Bombeiros Voluntários de Ribeira Grande,,,,,,,,
Ponta Delgada,Ribeira Grande,Escola Secundária Ribeira Grande,,,,,,,,
Ponta Delgada,Lagoa,Associação de Jovens Lagoenses ,18h as 22h,,,,,,,
Ponta Delgada,Lagoa,Instituição Ipangc (Rua da Boa Vista 4B Rosário Lagoa),,,,,,,,
Ponta Delgada,Povoação,Clube Naval Povoação,,,,,,,,
Ponta Delgada,Nordeste,Escola Básica e Secundária do Nordeste,,,,,,,,
Ponta Delgada,Ponta Garça,EBI de Ponta Garça,,,,,,,,
Viana do Castelo ,Viana do Castelo,Cimeira do IPVC ,3/3,4/3,,,,,,
Viana do Castelo ,Monção ,Lavandaria Pirâmide ,,,,,,,,
Viana do Castelo ,Monção ,Junta de freguesia de Barrosas e Taias,,,,926 530 360,,,,
Viana do Castelo ,Melgaço,Café Cova do Leão,,,,913969710,,,,
Viana do Castelo ,Valença do Minho ,Loja ZenSpot ,,,,932129748 / 913281128,,,,
Viana do Castelo ,Viana do Castelo,Igreja ortodoxa (A caminho do Monte Santa luzia),,,,936588498,,,,
Viana do Castelo ,Viana do Castelo,Academia saber ser ,,,,,,,,
Guarda,Guarda,Unidade Local de Saúde-Guarda,,,,271 200 200,,,,
Santarém,Santarém ,Escola Prática,,,,,,,,
Porto,Santa Maria da Feira.,Contactar -  Lesya Podolska,,,,963444625,,,,
Porto,Vila Nova de Gaia,Ucrânia Seminário Cristo Rei,,,,933159266,,,,"R. Visc. das Devesas 684, 4400-341 Vila Nova de Gaia"
